 FINAL_TRY                
  SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                               
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
    67     3     8  1982     399    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     400    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     401    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     402    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     403    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     404    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     405    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     406    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     407    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     408    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     409    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     410    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     411    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     412    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     413    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     414    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     415    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     416    frst                        0.000       0.000       0.000       0.000
    67     3     8  1982     417    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     418    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     419    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     420    past                        0.000       0.000       0.000       0.000
    67     3     8  1982     425    past                        0.000       0.000       0.000       0.000
