 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
  jday   mon   day    yr    unit  gis_id  name            grzn        grzp        lab_min_p   act_sta_p       fertn            fertp            fixn             denit            act_nit_n        act_sta_n        org_lab_p        rsd_nitorg_n     rsd_laborg_p    no3atmo          nh4atmo          nuptake          puptake          gwsoiln          gwsoilp      
                                                          kgha        kgha        kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha       
    67     3     8  1982     116     116  hru116         0.000       0.000       4.011       1.516            0.000            0.000            0.000           17.395           15.631           -3.471            2.660            0.512            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     117     117  hru117         0.000       0.000       2.297       1.936            0.000            0.000            0.000           18.716           15.854           -3.445            2.694            0.504            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     118     118  hru118         0.000       0.000       2.527       1.888            0.000            0.000            0.000           17.543           15.889           -3.435            2.700            0.511            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     119     119  hru119         0.000       0.000       2.228       1.952            0.000            0.000            0.000           19.253           15.845           -3.448            2.692            0.502            0.095            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     120     120  hru120         0.000       0.000       2.293       1.937            0.000            0.000            0.000           18.732           15.860           -3.444            2.695            0.505            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     121     121  hru121         0.000       0.000       2.590       1.875            0.000            0.000            0.000           17.260           15.906           -3.430            2.703            0.514            0.098            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     122     122  hru122         0.000       0.000       2.451       1.904            0.000            0.000            0.000           17.907           15.876           -3.438            2.698            0.509            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     123     123  hru123         0.000       0.000       2.291       1.937            0.000            0.000            0.000           18.735           15.853           -3.445            2.694            0.504            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     124     124  hru124         0.000       0.000       2.226       1.952            0.000            0.000            0.000           19.241           15.839           -3.449            2.691            0.502            0.095            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     125     125  hru125         0.000       0.000       2.552       1.872            0.000            0.000            0.000           19.998           15.782           -3.460            2.682            0.497            0.094            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     126     126  hru126         0.000       0.000       2.700       1.843            0.000            0.000            0.000           19.279           15.791           -3.456            2.684            0.502            0.095            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     127     127  hru127         0.000       0.000       3.503       1.700            0.000            0.000            0.000           18.713           15.737           -3.462            2.675            0.505            0.096            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     128     128  hru128         0.000       0.000       3.999       1.526            0.000            0.000            0.000           17.562           15.639           -3.471            2.661            0.511            0.097            0.000            0.000            0.000            0.000            0.000            0.000
    67     3     8  1982     129     129  hru129         0.000       0.000       2.287       1.938            0.000            0.000            0.000           18.703           15.854           -3.445            2.694            0.504            0.096            0.000            0.000            0.000            0.000            0.000            0.000
