 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
          67           3           8        1982 rtu0310         ru      aqu           8 rhg   1.000000       528.0068      0.0000000E+00  0.0000000E+00  0.0000000E+00   11.46019      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.045840    
          67           3           8        1982 rtu0320         ru      sdc          32 tot   1.000000       5666738.       4756.310       18878.09       4114.355       3149.981       399.8672       12232.13      0.0000000E+00  0.0000000E+00  1.0759816E+09   323590.4      5.8737114E-05  5.8737114E-05  5.8737114E-05  5.8737114E-05  5.8737114E-05  0.0000000E+00   1.000004    
          67           3           8        1982 rtu0320         ru      aqu           8 rhg   1.000000       272446.8      0.0000000E+00  0.0000000E+00  0.0000000E+00   13794.79      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000114    
          67           3           8        1982 rtu0330         ru      sdc          33 tot   1.000000       4600976.       4381.062       17226.27       3758.862       2734.529       318.2527       11103.67      0.0000000E+00  0.0000000E+00  9.9198477E+08   263589.6      5.8849673E-05  5.8849673E-05  5.8849673E-05  5.8849673E-05  5.8849673E-05  0.0000000E+00   1.000005    
          67           3           8        1982 rtu0330         ru      aqu           8 rhg   1.000000       221688.2      0.0000000E+00  0.0000000E+00  0.0000000E+00   11132.28      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000140    
          67           3           8        1982 rtu0340         ru      sdc          34 tot   1.000000       274811.9       257.7453       999.3669       218.4198       137.1863       15.81960       639.2189      0.0000000E+00  0.0000000E+00  5.8311632E+07   13427.80      5.0326853E-05  5.0326853E-05  5.0326853E-05  5.0326853E-05  5.0326853E-05  0.0000000E+00   1.000079    
          67           3           8        1982 rtu0340         ru      aqu           7 rhg   1.000000       13240.89      0.0000000E+00  0.0000000E+00  0.0000000E+00   666.6323      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.002351    
          67           3           8        1982 rtu0350         ru      sdc          35 tot   1.000000       4784501.       4361.274       25041.57       4688.644       3726.282       325.0111       16564.06      0.0000000E+00  0.0000000E+00  1.5515695E+09   316794.6      1.1790147E-04  1.1790147E-04  1.1790147E-04  1.1790147E-04  1.1790147E-04  0.0000000E+00   1.000010    
          67           3           8        1982 rtu0350         ru      aqu           7 rhg   1.000000       361255.8      0.0000000E+00  0.0000000E+00  0.0000000E+00   13428.13      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000081    
          67           3           8        1982 rtu0360         ru      sdc          36 tot   1.000000       4835362.       4296.677       24711.96       4626.074       3777.479       329.1326       16374.73      0.0000000E+00  0.0000000E+00  1.5231053E+09   319217.7      5.8816619E-05  5.8816619E-05  5.8816619E-05  5.8816619E-05  5.8816619E-05  0.0000000E+00   1.000003    
          67           3           8        1982 rtu0360         ru      aqu           5 rhg   1.000000       364499.7      0.0000000E+00  0.0000000E+00  0.0000000E+00   13414.67      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000080    
          67           3           8        1982 rtu0370         ru      sdc          37 tot   1.000000       4781024.       2831.092       16451.17       3073.165       2837.051       340.0083       10779.29      0.0000000E+00  0.0000000E+00  9.7871885E+08   311246.2      5.8692574E-05  5.8692574E-05  5.8692574E-05  5.8692574E-05  5.8692574E-05  0.0000000E+00   1.000004    
          67           3           8        1982 rtu0370         ru      aqu           5 rhg   1.000000       358192.8      0.0000000E+00  0.0000000E+00  0.0000000E+00   13082.02      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.000083    
          67           3           8        1982 rtu0380         ru      sdc          38 tot   1.000000       3155472.       20395.34       54604.21       8598.237       2013.284       147.6479       37371.11      0.0000000E+00  0.0000000E+00  5.3591982E+09   206097.5      1.1795326E-04  1.1795326E-04  1.1795326E-04  1.1795326E-04  1.1795326E-04  0.0000000E+00   1.000009    
