 Prueba3                   SWAT+ Jul 2 2024        MODULAR Rev 2024.61.0.1                                
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp       strss        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0     lai_max      bm_max     bm_grow       c_gro
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc   m**2/m**2       kg/ha       kg/ha       kg/ha
     67     3     8  1982     92       0  rtu0920                0.000       0.000       0.000     107.858      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      24.003       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     93       0  rtu0930                0.000       0.000       0.000     110.160      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.181       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     94       0  rtu0940                0.000       0.000       0.000     106.967      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      24.766       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     95       0  rtu0950                0.000       0.000       0.000     110.214      15.067       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.212       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     96       0  rtu0960                0.000       0.000       0.000     107.218      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      24.490       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     97       0  rtu0970                0.000       0.000       0.000     110.547      15.063       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.025       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     98       0  rtu0980                0.000       0.000       0.000     107.159      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      24.541       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982     99       0  rtu0990                0.000       0.000       0.000     110.099      15.069       0.000       0.000       0.000       0.000       0.000       0.000       0.000      70.157       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982    100       0  rtu1000                0.000       0.000       0.000     111.188      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      21.460       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982    101       0  rtu1010                0.000       0.000       0.000     109.089      15.068       0.000       0.000       0.000       0.000       0.000       0.000       0.000      23.005       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
     67     3     8  1982    102       0  rtu1020                0.000       0.000       0.000      73.030      14.969       0.000       0.000       0.000       0.000       0.000       0.000       0.000      66.548       0.000      21.409      12.499      16.954       0.881       0.754       0.849       0.406       0.000       0.000       0.000       0.000
