date,Q,P,Q_interp,Q_filled
1981-10-06,0.0,1.1859786977583344,0.0,0.0
1981-10-07,0.0,2.837208432441837,0.0,0.0
1981-10-08,0.0,4.904903519252976,0.0,0.0
1981-10-09,0.0,0.9087726135505344,0.0,0.0
1981-10-10,0.0,2.3262205712704023,0.0,0.0
1981-10-11,0.0,1.505235593775996,0.0,0.0
1981-10-12,0.0,7.691035815127763,0.0,0.0
1981-10-13,0.0,6.833636347523825,0.0,0.0
1981-10-14,0.0,0.4935730491197194,0.0,0.0
1981-10-15,0.0,2.3936652304445887,0.0,0.0
1981-10-16,0.0,2.6194305497392816,0.0,0.0
1981-10-17,0.0,1.4770193394228377,0.0,0.0
1981-10-18,0.0,1.225455902458482,0.0,0.0
1981-10-19,0.0,0.9620761720496759,0.0,0.0
1981-10-20,0.0,1.3426610378105204,0.0,0.0
1981-10-21,0.0,4.1468276542713705,0.0,0.0
1981-10-22,0.0,3.281984474438201,0.0,0.0
1981-10-23,0.0,2.1546736502162105,0.0,0.0
1981-10-24,0.0,1.0927368377391742,0.0,0.0
1981-10-25,0.0,1.361563182793061,0.0,0.0
1981-10-26,0.0,10.115911727465518,0.0,0.0
1981-10-27,0.0,7.872215136872057,0.0,0.0
1981-10-28,0.0,1.3138938602112806,0.0,0.0
1981-10-29,0.0,0.7690622122084889,0.0,0.0
1981-10-30,0.0,1.4762082532257117,0.0,0.0
1981-10-31,0.0,1.7314880069791319,0.0,0.0
1981-11-01,0.0,0.6362279727797093,0.0,0.0
1981-11-02,0.0,2.9608306252927097,0.0,0.0
1981-11-03,0.0,2.026912487324544,0.0,0.0
1981-11-04,0.0,1.5591620887925264,0.0,0.0
1981-11-05,0.0,1.2595504761392582,0.0,0.0
1981-11-06,0.0,4.391119055234991,0.0,0.0
1981-11-07,0.0,1.093600418993454,0.0,0.0
1981-11-08,0.0,12.52884355140709,0.0,0.0
1981-11-09,0.0,2.719531169878549,0.0,0.0
1981-11-10,0.0,2.53182277623846,0.0,0.0
1981-11-11,0.0,3.5543924409821144,0.0,0.0
1981-11-12,0.0,7.681929187234131,0.0,0.0
1981-11-13,0.0,1.2702541142765809,0.0,0.0
1981-11-14,0.0,3.8489871946055096,0.0,0.0
1981-11-15,0.0,3.7153161695265626,0.0,0.0
1981-11-16,0.0,5.359076573917751,0.0,0.0
1981-11-17,0.0,1.7969477767828113,0.0,0.0
1981-11-18,0.0,5.037428566490859,0.0,0.0
1981-11-19,0.0,1.1559131804432323,0.0,0.0
1981-11-20,0.0,0.3137690016122498,0.0,0.0
1981-11-21,0.0,2.3681847730751184,0.0,0.0
1981-11-22,0.0,4.840832622028736,0.0,0.0
1981-11-23,0.0,2.5460525759293353,0.0,0.0
1981-11-24,0.0,2.7086959262996952,0.0,0.0
1981-11-25,0.0,3.790799102204948,0.0,0.0
1981-11-26,0.0,3.6157570771151684,0.0,0.0
1981-11-27,0.0,6.198170716072787,0.0,0.0
1981-11-28,0.0,1.4308687316451438,0.0,0.0
1981-11-29,0.0,3.318915515695605,0.0,0.0
1981-11-30,0.0,7.350426200247659,0.0,0.0
1981-12-01,0.0,3.3140379398155657,0.0,0.0
1981-12-02,0.0,6.363905154762421,0.0,0.0
1981-12-03,0.0,1.4985796043837114,0.0,0.0
1981-12-04,0.0,5.096233816236962,0.0,0.0
1981-12-05,0.0,5.131615479635602,0.0,0.0
1981-12-06,0.0,0.2852162994479006,0.0,0.0
1981-12-07,0.0,2.994433996248771,0.0,0.0
1981-12-08,0.0,2.721600996212712,0.0,0.0
1981-12-09,0.0,4.643814084459201,0.0,0.0
1981-12-10,0.0,2.745455617767257,0.0,0.0
1981-12-11,0.0,13.970050339051836,0.0,0.0
1981-12-12,0.0,8.688833686999173,0.0,0.0
1981-12-13,0.0,3.854859417447177,0.0,0.0
1981-12-14,0.0,2.9167447207171904,0.0,0.0
1981-12-15,0.0,0.6356715798053861,0.0,0.0
1981-12-16,0.0,2.753535235045768,0.0,0.0
